K,UL,beta,burn_factor,crossing_time,delta,mu1,mu2,num_crossings,rep,s,seed1,seed2,seed3,seed4,sigma
100,1.0,0.01,0.25,9147,1.0e-5,1.0e-5,0.0001,50,42,0.1,1439273848,3273194356,1500803301,1929013707,0.05
100,1.0,0.01,0.25,13995,1.0e-5,1.0e-5,0.0001,50,46,0.1,1789803319,3286277463,897166583,4017659610,5.0e-8
464,1.0,0.01,0.25,13850,1.0e-5,1.0e-5,0.0001,50,30,0.1,3019271210,3897533252,3628243369,3841941227,0.5
100,1.0,0.01,0.25,51406,1.0e-5,1.0e-5,0.0001,50,10,0.1,685317615,1728669000,1687305862,787627631,0.5
100,1.0,0.01,0.25,43240,1.0e-5,1.0e-5,0.0001,50,19,0.1,511240759,2007436812,748368815,921109864,0.5
464,1.0,0.01,0.25,2179,1.0e-5,1.0e-5,0.0001,50,19,0.1,1435189066,134860695,3738221288,4104124646,5.0e-8
464,1.0,0.01,0.25,14415,1.0e-5,1.0e-5,0.0001,50,32,0.1,2559542047,1384315885,4235860938,1750579570,0.5
464,1.0,0.01,0.25,1011,1.0e-5,1.0e-5,0.0001,50,32,0.1,1997170888,2984107259,2728999465,1737320280,5.0e-8
215,1.0,0.01,0.25,8250,1.0e-5,1.0e-5,0.0001,50,5,0.1,4281768249,3011987626,215795694,4216118126,5.0e-8
100,1.0,0.01,0.25,19961,1.0e-5,1.0e-5,0.0001,50,25,0.1,3807702852,363283126,2917034122,603767830,5.0e-8
100,1.0,0.01,0.25,18932,1.0e-5,1.0e-5,0.0001,50,16,0.1,673070480,1978132849,1116314887,162115821,5.0e-8
100,1.0,0.01,0.25,15912,1.0e-5,1.0e-5,0.0001,50,43,0.1,3267193803,83814892,3882907338,3317220845,0.05
464,1.0,0.01,0.25,11770,1.0e-5,1.0e-5,0.0001,50,15,0.1,3593074880,2899781310,2818721969,1166655620,0.5
464,1.0,0.01,0.25,6799,1.0e-5,1.0e-5,0.0001,50,35,0.1,1706162780,319264824,1147034143,1468505906,0.05
215,1.0,0.01,0.25,32614,1.0e-5,1.0e-5,0.0001,50,37,0.1,3860873967,3756824812,333723250,166740871,0.5
464,1.0,0.01,0.25,7568,1.0e-5,1.0e-5,0.0001,50,9,0.1,3979025307,2179626239,790214301,3712233259,0.05
464,1.0,0.01,0.25,1834,1.0e-5,1.0e-5,0.0001,50,26,0.1,1875724809,1961207786,1857017834,2786650654,0.05
100,1.0,0.01,0.25,35135,1.0e-5,1.0e-5,0.0001,50,38,0.1,3599872300,586135742,4073001006,3401853136,0.5
100,1.0,0.01,0.25,55307,1.0e-5,1.0e-5,0.0001,50,11,0.1,4139221831,160441449,2389191842,3980698711,0.5
215,1.0,0.01,0.25,12092,1.0e-5,1.0e-5,0.0001,50,9,0.1,537043041,4193109956,3295961441,863621361,5.0e-8
215,1.0,0.01,0.25,16261,1.0e-5,1.0e-5,0.0001,50,22,0.1,2914052042,1331144966,1901147136,4229954549,0.05
464,1.0,0.01,0.25,3575,1.0e-5,1.0e-5,0.0001,50,38,0.1,2681940845,1324428361,2712919298,1479055140,5.0e-8
100,1.0,0.01,0.25,43051,1.0e-5,1.0e-5,0.0001,50,50,0.1,1593682700,3685113922,195914563,3973461711,0.5
464,1.0,0.01,0.25,4440,1.0e-5,1.0e-5,0.0001,50,16,0.1,128605416,2561678444,2104791368,3084877469,0.05
215,1.0,0.01,0.25,22072,1.0e-5,1.0e-5,0.0001,50,27,0.1,4261820784,461662112,472971382,3839427927,0.5
215,1.0,0.01,0.25,14267,1.0e-5,1.0e-5,0.0001,50,25,0.1,2605340255,2318719657,2845750581,1446494538,0.05
215,1.0,0.01,0.25,10610,1.0e-5,1.0e-5,0.0001,50,25,0.1,2780659337,3582114303,2663842660,3257184673,5.0e-8
100,1.0,0.01,0.25,12350,1.0e-5,1.0e-5,0.0001,50,20,0.1,1029849627,357298106,51939757,4165943536,5.0e-8
215,1.0,0.01,0.25,36040,1.0e-5,1.0e-5,0.0001,50,2,0.1,3438232756,1154412493,729636342,3806196999,0.5
464,1.0,0.01,0.25,10408,1.0e-5,1.0e-5,0.0001,50,39,0.1,952286759,1368609571,1484368059,3315067559,0.5
464,1.0,0.01,0.25,20277,1.0e-5,1.0e-5,0.0001,50,7,0.1,144153860,2465567891,2534985272,4223544715,0.5
100,1.0,0.01,0.25,23831,1.0e-5,1.0e-5,0.0001,50,6,0.1,91593059,1888491273,3055416885,3645421629,0.05
215,1.0,0.01,0.25,13955,1.0e-5,1.0e-5,0.0001,50,42,0.1,2978216146,2229394417,2316422337,93783088,0.05
1000,1.0,0.01,0.25,3990,1.0e-5,1.0e-5,0.0001,50,5,0.1,520036465,458218359,448254969,4049252353,0.05
100,1.0,0.01,0.25,29779,1.0e-5,1.0e-5,0.0001,50,30,0.1,861889922,1517314237,1468302052,2456470445,0.05
215,1.0,0.01,0.25,18792,1.0e-5,1.0e-5,0.0001,50,28,0.1,4147613391,2535418131,1634136735,84501958,0.05
1000,1.0,0.01,0.25,3879,1.0e-5,1.0e-5,0.0001,50,21,0.1,1992270775,1539515385,93234954,599658272,0.05
100,1.0,0.01,0.25,54339,1.0e-5,1.0e-5,0.0001,50,40,0.1,2915564771,2744857115,614398202,804904426,0.5
464,1.0,0.01,0.25,6489,1.0e-5,1.0e-5,0.0001,50,12,0.1,2081815193,2870667545,3481824288,2643215251,0.05
215,1.0,0.01,0.25,16065,1.0e-5,1.0e-5,0.0001,50,10,0.1,1695429651,3821674590,3072442831,2927897328,0.05
464,1.0,0.01,0.25,2848,1.0e-5,1.0e-5,0.0001,50,4,0.1,680777747,711451202,4053747283,3272654911,5.0e-8
464,1.0,0.01,0.25,4381,1.0e-5,1.0e-5,0.0001,50,1,0.1,3308330876,3718077292,3395336976,3168768596,5.0e-8
1000,1.0,0.01,0.25,6004,1.0e-5,1.0e-5,0.0001,50,12,0.1,888260761,1830134959,1366880395,2469333430,0.05
100,1.0,0.01,0.25,20799,1.0e-5,1.0e-5,0.0001,50,49,0.1,713216208,2275903970,2157551621,1611193224,5.0e-8
1000,1.0,0.01,0.25,861,1.0e-5,1.0e-5,0.0001,50,11,0.1,4091159307,510454860,2509814276,2944861636,5.0e-8
215,1.0,0.01,0.25,36720,1.0e-5,1.0e-5,0.0001,50,16,0.1,3680121447,391155066,2161224498,328541966,0.5
215,1.0,0.01,0.25,18251,1.0e-5,1.0e-5,0.0001,50,41,0.1,3667465030,2619944996,3063291731,3348225453,0.05
464,1.0,0.01,0.25,3699,1.0e-5,1.0e-5,0.0001,50,18,0.1,3921405237,2426820917,1339688610,1211099376,5.0e-8
464,1.0,0.01,0.25,7610,1.0e-5,1.0e-5,0.0001,50,48,0.1,1411530432,3916754084,2348089911,2968763316,0.05
215,1.0,0.01,0.25,26377,1.0e-5,1.0e-5,0.0001,50,21,0.1,2483614575,3235065102,291404208,2980199282,0.5
215,1.0,0.01,0.25,23578,1.0e-5,1.0e-5,0.0001,50,16,0.1,829509917,324858727,3560303633,3711602370,0.05
100,1.0,0.01,0.25,65363,1.0e-5,1.0e-5,0.0001,50,34,0.1,311206460,2726542122,2877288202,1973905556,0.5
215,1.0,0.01,0.25,14110,1.0e-5,1.0e-5,0.0001,50,26,0.1,3861621946,1236259073,2412476463,1386166303,0.05
100,1.0,0.01,0.25,36643,1.0e-5,1.0e-5,0.0001,50,18,0.1,1542362721,1965606611,3536001831,1658537247,0.05
215,1.0,0.01,0.25,38421,1.0e-5,1.0e-5,0.0001,50,4,0.1,697250952,1060574942,2171303595,1054963936,0.5
100,1.0,0.01,0.25,80131,1.0e-5,1.0e-5,0.0001,50,2,0.1,963391916,1618723873,1610597802,2320658466,0.5
100,1.0,0.01,0.25,19064,1.0e-5,1.0e-5,0.0001,50,48,0.1,3782073611,541403923,1607384516,3339312659,5.0e-8
215,1.0,0.01,0.25,40717,1.0e-5,1.0e-5,0.0001,50,17,0.1,852916353,2699197102,431623652,3041238877,0.5
1000,1.0,0.01,0.25,6839,1.0e-5,1.0e-5,0.0001,50,20,0.1,1916423100,4264520287,2926424228,1420911934,0.05
1000,1.0,0.01,0.25,1584,1.0e-5,1.0e-5,0.0001,50,1,0.1,1369924652,1962231596,524559093,4200982515,5.0e-8
464,1.0,0.01,0.25,22829,1.0e-5,1.0e-5,0.0001,50,12,0.1,2677212841,3103130960,3617751527,2793651369,0.5
464,1.0,0.01,0.25,5610,1.0e-5,1.0e-5,0.0001,50,26,0.1,2986865244,1306229765,2791708195,2623759356,5.0e-8
464,1.0,0.01,0.25,18147,1.0e-5,1.0e-5,0.0001,50,38,0.1,1358951100,2798418234,439353422,2518432507,0.5
100,1.0,0.01,0.25,32470,1.0e-5,1.0e-5,0.0001,50,26,0.1,4290160959,1968425257,3027116492,1802960446,5.0e-8
464,1.0,0.01,0.25,29811,1.0e-5,1.0e-5,0.0001,50,13,0.1,2462485528,2694809298,4269717890,3422606453,0.5
1000,1.0,0.01,0.25,7822,1.0e-5,1.0e-5,0.0001,50,44,0.1,2680982672,1060758915,2747845816,2732230393,0.5
464,1.0,0.01,0.25,7459,1.0e-5,1.0e-5,0.0001,50,17,0.1,3116677437,4059451340,3773086325,241519434,5.0e-8
215,1.0,0.01,0.25,15112,1.0e-5,1.0e-5,0.0001,50,33,0.1,1483781541,2731268594,1575535080,3343649181,5.0e-8
